,smiles
0,CCC(C)C(NC(=O)C(CC(=O)N[O-])Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)[O-]
1,CC(C)Cn1c(=O)n(C)c(=O)c2c(-c3ccncc3)n(Cc3cccc4ccccc34)nc21
2,CNC(=O)c1c(C)oc2cc(Oc3ccnc4cc(OCC[NH+]5CCOCC5)ccc34)ccc12
3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1
4,O=[N+]([O-])c1cc(C(F)(F)F)ccc1NCc1ccsc1
5,O=C([O-])c1cc2cc3ccc4oc(C(=O)[O-])cc4c3cc2o1
6,O=[N+]([O-])c1cc(C(F)(F)F)ccc1NCc1ccco1
7,Cc1cc(C(N)=O)ccc1-n1c(CCC(=O)[O-])ccc1-c1ccc(-n2ccnc2)cc1
8,CNC(=O)C(NC(=O)C(CCCc1ccccc1)C(C)N([O-])C=O)C(C)(C)C
9,O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCCC3)c2)c1Br
10,Cc1cc(Nc2nn(C(C)C)c(=O)c3cc(N4CC[NH+](C)CC4)ccc23)n[nH]1
11,NC(=O)c1sc(Nc2ccccc2)nc1N
12,CC(CCc1ccc(-c2ccc(OCCC[NH+]3CCOCC3)cc2)cc1)(C(=O)N[O-])S(C)(=O)=O
13,NC(=O)c1ccc(C(=O)Nc2cc(C3CC3)[nH]n2)cc1
14,CC/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccc(F)cc2)c(C(=O)OC)c1
15,COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC
16,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1ccccc1
17,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)O)n(-c5ccccc5)c4=O)cc3F)ccnc2c1
18,CC(=O)Nc1cc(Oc2ccc3c(c2)CCN3C(=O)Nc2ccc(C[NH+]3CC[NH+](C)CC3)c(C(F)(F)F)c2)ncn1
